Capsasporidae,Pavlovophyceae,Capsasporidae,Capsasporidae,,,,,,,,,,,,,,,,,,,,,,
Picomonadidae,Salpingoecidae,Picomonadidae,Picomonadidae,,,,,,,,,,,,,,,,,,,,,,
Gonyaulacales,Dolichomastigaceae,Gonyaulacales,Gonyaulacales,,,,,,,,,,,,,,,,,,,,,,
Raphidophyceae,MAST-8,Raphidophyceae,Raphidophyceae,,,,,,,,,,,,,,,,,,,,,,
Centrohelida,Pinguiochrysidales,Centrohelida,Centrohelida,,,,,,,,,,,,,,,,,,,,,,
Telonemida,Eustigmatales,Telonemida,Telonemida,,,,,,,,,,,,,,,,,,,,,,
Eumetazoa_Cnidaria,Pav3,Eumetazoa_Cnidaria,Eumetazoa_Cnidaria,,,,,,,,,,,,,,,,,,,,,,
Ceratiaceae,MAST-9,Ceratiaceae,Ceratiaceae,,,,,,,,,,,,,,,,,,,,,,
Nephroselmidales,MOCH-2,Nephroselmidales,Nephroselmidales,,,,,,,,,,,,,,,,,,,,,,
Marimonadida,MAST-9A,Marimonadida,Marimonadida,,,,,,,,,,,,,,,,,,,,,,
MAST-7D,Holostichidae,MAST-7D,MAST-7D,,,,,,,,,,,,,,,,,,,,,,
Suessiaceae,T58,Suessiaceae,Suessiaceae,,,,,,,,,,,,,,,,,,,,,,
Bolidophyceae,Dictyochophyceae,Bolidophyceae,Bolidophyceae,,,,,,,,,,,,,,,,,,,,,,
Pycnococcaceae,ANT37-16,Pycnococcaceae,Pycnococcaceae,,,,,,,,,,,,,,,,,,,,,,
Amphidiniaceae,Ebriacea,Amphidiniaceae,Amphidiniaceae,,,,,,,,,,,,,,,,,,,,,,
Thoracosphaeraceae,,Thoracosphaeraceae,Thoracosphaeraceae,,,,,,,,,,,,,,,,,,,,,,
Gymnodiniaceae,,Gymnodiniaceae,Gymnodiniaceae,,,,,,,,,,,,,,,,,,,,,,
MAST-1D,,MAST-1D,MAST-1D,,,,,,,,,,,,,,,,,,,,,,
MAST-10,,MAST-10,MAST-10,,,,,,,,,,,,,,,,,,,,,,
Prasinococcaceae,,Prasinococcaceae,Prasinococcaceae,,,,,,,,,,,,,,,,,,,,,,
MAST-4D,,MAST-4D,MAST-4D,,,,,,,,,,,,,,,,,,,,,,
Apusomonadidae,,Apusomonadidae,Apusomonadidae,,,,,,,,,,,,,,,,,,,,,,
Dothideomycetes,,Dothideomycetes,Dothideomycetes,,,,,,,,,,,,,,,,,,,,,,
Novel_Clade_2,,Novel_Clade_2,Novel_Clade_2,,,,,,,,,,,,,,,,,,,,,,
MAST-7,,MAST-7,MAST-7,,,,,,,,,,,,,,,,,,,,,,
Eurotiomycetes,,Eurotiomycetes,Eurotiomycetes,,,,,,,,,,,,,,,,,,,,,,
MAST-1B,,MAST-1B,Codosigidae,,,,,,,,,,,,,,,,,,,,,,
Codosigidae,,Codosigidae,MAST-2,,,,,,,,,,,,,,,,,,,,,,
MAST-2,,MAST-2,Phytomyxea,,,,,,,,,,,,,,,,,,,,,,
Didiniidae,,Didiniidae,MAST-1C,,,,,,,,,,,,,,,,,,,,,,
Phytomyxea,,Phytomyxea,Strobilidiidae,,,,,,,,,,,,,,,,,,,,,,
MAST-1C,,MAST-1C,Stramenopiles,,,,,,,,,,,,,,,,,,,,,,
Strobilidiidae,,Strobilidiidae,Sarcinochrysidales,,,,,,,,,,,,,,,,,,,,,,
Acanthocystidae,,Acanthocystidae,Stephanoecidae,,,,,,,,,,,,,,,,,,,,,,
Uronematidae,,Uronematidae,Pavlovophyceae,,,,,,,,,,,,,,,,,,,,,,
Stramenopiles,,Stramenopiles,Tintinnina_Tintinnidae,,,,,,,,,,,,,,,,,,,,,,
Sarcinochrysidales,,Sarcinochrysidales,Eumetazoa_Tunicata,,,,,,,,,,,,,,,,,,,,,,
Stephanoecidae,,Stephanoecidae,Eumetazoa_Mollusca,,,,,,,,,,,,,,,,,,,,,,
Pavlovophyceae,,Pavlovophyceae,Eumetazoa_Copepoda,,,,,,,,,,,,,,,,,,,,,,
Tintinnina_Tintinnidae,,Tintinnina_Tintinnidae,Chytridiomycetes,,,,,,,,,,,,,,,,,,,,,,
Eumetazoa_Tunicata,,Eumetazoa_Tunicata,Abeoformidae,,,,,,,,,,,,,,,,,,,,,,
Eumetazoa_Mollusca,,Eumetazoa_Mollusca,Salpingoecidae,,,,,,,,,,,,,,,,,,,,,,
Eumetazoa_Copepoda,,Eumetazoa_Copepoda,Cryptomonadales,,,,,,,,,,,,,,,,,,,,,,
Chytridiomycetes,,Chytridiomycetes,Acantharia,,,,,,,,,,,,,,,,,,,,,,
Abeoformidae,,Abeoformidae,Basal_Group_T,,,,,,,,,,,,,,,,,,,,,,
Salpingoecidae,,Salpingoecidae,Dolichomastigaceae,,,,,,,,,,,,,,,,,,,,,,
Cryptomonadales,,Cryptomonadales,Rozella,,,,,,,,,,,,,,,,,,,,,,
Acantharia,,Acantharia,Ceriantharia,,,,,,,,,,,,,,,,,,,,,,
Basal_Group_T,,Basal_Group_T,RAD_A,,,,,,,,,,,,,,,,,,,,,,
Dolichomastigaceae,,Dolichomastigaceae,Rhynchonellida,,,,,,,,,,,,,,,,,,,,,,
Rozella,,Rozella,Saprolegniales,,,,,,,,,,,,,,,,,,,,,,
Ceriantharia,,Ceriantharia,Ventrifissuridae,,,,,,,,,,,,,,,,,,,,,,
RAD_A,,RAD_A,Haptophyta,,,,,,,,,,,,,,,,,,,,,,
Rhynchonellida,,Rhynchonellida,Chromerida,,,,,,,,,,,,,,,,,,,,,,
Saprolegniales,,Saprolegniales,Leptothecata,,,,,,,,,,,,,,,,,,,,,,
Ventrifissuridae,,Ventrifissuridae,Novel_Clade_3,,,,,,,,,,,,,,,,,,,,,,
Haptophyta,,Haptophyta,MAST-8,,,,,,,,,,,,,,,,,,,,,,
Chromerida,,Chromerida,Strombidinopsidae,,,,,,,,,,,,,,,,,,,,,,
Leptothecata,,Leptothecata,Ephelotidae,,,,,,,,,,,,,,,,,,,,,,
Novel_Clade_3,,Novel_Clade_3,Paraphysomonadaceae,,,,,,,,,,,,,,,,,,,,,,
MAST-8,,MAST-8,Labyrinthulomycetes,,,,,,,,,,,,,,,,,,,,,,
Oligotrichia,,Oligotrichia,Haplosclerida,,,,,,,,,,,,,,,,,,,,,,
Strombidinopsidae,,Strombidinopsidae,Eumetazoa_Mammalia,,,,,,,,,,,,,,,,,,,,,,
Metromonadea,,Metromonadea,Vampyrellidae,,,,,,,,,,,,,,,,,,,,,,
Porphyridiaceae,,Porphyridiaceae,Lingulodiniaceae,,,,,,,,,,,,,,,,,,,,,,
Ephelotidae,,Ephelotidae,Fragilariales,,,,,,,,,,,,,,,,,,,,,,
Paraphysomonadaceae,,Paraphysomonadaceae,Pyrophacaceae,,,,,,,,,,,,,,,,,,,,,,
Labyrinthulomycetes,,Labyrinthulomycetes,Dinoflagellata,,,,,,,,,,,,,,,,,,,,,,
Pyrenomonadaceae,,Pyrenomonadaceae,Plagiorchiida,,,,,,,,,,,,,,,,,,,,,,
Haplosclerida,,Haplosclerida,Gonyaulacaceae,,,,,,,,,,,,,,,,,,,,,,
Eumetazoa_Mammalia,,Eumetazoa_Mammalia,Tintinnina_Codonellidae,,,,,,,,,,,,,,,,,,,,,,
Vampyrellidae,,,Schizymeniaceae,,,,,,,,,,,,,,,,,,,,,,
Lingulodiniaceae,,,Coscinodiscophytina,,,,,,,,,,,,,,,,,,,,,,
Fragilariales,,,RAD_B,,,,,,,,,,,,,,,,,,,,,,
Pyrophacaceae,,,Anthoathecata,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellata,,,Eimeriorina,,,,,,,,,,,,,,,,,,,,,,
Plagiorchiida,,,Dactylopodida,,,,,,,,,,,,,,,,,,,,,,
Gonyaulacaceae,,,Sordariomycetes,,,,,,,,,,,,,,,,,,,,,,
Tintinnina_Codonellidae,,,DSGM-81,,,,,,,,,,,,,,,,,,,,,,
Schizymeniaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscophytina,,,,,,,,,,,,,,,,,,,,,,,,,
RAD_B,,,,,,,,,,,,,,,,,,,,,,,,,
Anthoathecata,,,,,,,,,,,,,,,,,,,,,,,,,
Eimeriorina,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylopodida,,,,,,,,,,,,,,,,,,,,,,,,,
Sordariomycetes,,,,,,,,,,,,,,,,,,,,,,,,,
DSGM-81,,,,,,,,,,,,,,,,,,,,,,,,,
Pinguiochrysidales,,,,,,,,,,,,,,,,,,,,,,,,,
Eustigmatales,,,,,,,,,,,,,,,,,,,,,,,,,
Pav3,,,,,,,,,,,,,,,,,,,,,,,,,
MAST-9,,,,,,,,,,,,,,,,,,,,,,,,,
MOCH-2,,,,,,,,,,,,,,,,,,,,,,,,,
MAST-9A,,,,,,,,,,,,,,,,,,,,,,,,,
Holostichidae,,,,,,,,,,,,,,,,,,,,,,,,,
T58,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyochophyceae,,,,,,,,,,,,,,,,,,,,,,,,,
ANT37-16,,,,,,,,,,,,,,,,,,,,,,,,,
Ebriacea,,,,,,,,,,,,,,,,,,,,,,,,,
